log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
four_oh_four,3,404 Error,2017-05-31 10:46:12,2017-05-31 10:46:12,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:47:39,2017-05-31 10:47:39,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:47:39,2017-05-31 10:47:39,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:47:49,2017-05-31 10:47:49,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:47:50,2017-05-31 10:47:50,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:48:07,2017-05-31 10:48:07,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:48:10,2017-05-31 10:48:10,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:49:13,2017-05-31 10:49:13,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:49:14,2017-05-31 10:49:14,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:50:43,2017-05-31 10:50:43,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:51:18,2017-05-31 10:51:18,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:51:54,2017-05-31 10:51:54,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:52:55,2017-05-31 10:52:55,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:52:55,2017-05-31 10:52:55,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:54:32,2017-05-31 10:54:32,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:54:33,2017-05-31 10:54:33,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:54:46,2017-05-31 10:54:46,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:55:48,2017-05-31 10:55:48,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:56:46,2017-05-31 10:56:46,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:57:43,2017-05-31 10:57:43,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:57:44,2017-05-31 10:57:44,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:57:49,2017-05-31 10:57:49,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:57:50,2017-05-31 10:57:50,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:59:51,2017-05-31 10:59:51,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 10:59:53,2017-05-31 10:59:53,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:00:04,2017-05-31 11:00:04,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:00:06,2017-05-31 11:00:06,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:00:22,2017-05-31 11:00:22,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:00:24,2017-05-31 11:00:24,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:00:33,2017-05-31 11:00:33,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:00:34,2017-05-31 11:00:34,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:01:56,2017-05-31 11:01:56,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:01:57,2017-05-31 11:01:57,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:02:28,2017-05-31 11:02:28,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:02:30,2017-05-31 11:02:30,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:02:55,2017-05-31 11:02:55,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:03:19,2017-05-31 11:03:19,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:06:00,2017-05-31 11:06:00,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:06:00,2017-05-31 11:06:00,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:06:40,2017-05-31 11:06:40,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:06:41,2017-05-31 11:06:41,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:07:48,2017-05-31 11:07:48,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:07:49,2017-05-31 11:07:49,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:35:26,2017-05-31 11:35:26,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-31 11:46:09,2017-05-31 11:46:09,127.0.0.1,,,/ayiti2/404,,query_string=
backup,3,Database Backup Executed,2017-06-01 08:48:45,2017-06-01 08:48:45,,,,,,0=status=Errordetails=email to backup recipients could not be sent.
backup,3,Database Backup Executed,2017-06-01 08:48:45,2017-06-01 08:48:45,,,,,,0=status=Errordetails=email to backup recipients could not be sent.
four_oh_four,3,404 Error,2017-06-02 15:09:17,2017-06-02 15:09:17,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
backup,3,Database Backup Executed,2017-06-05 11:08:09,2017-06-05 11:08:09,,,,,,0=status=Errordetails=email to backup recipients could not be sent.
backup,3,Database Backup Executed,2017-06-05 11:08:11,2017-06-05 11:08:11,,,,,,0=status=Errordetails=email to backup recipients could not be sent.
backup,3,Database Backup Executed,2017-06-05 11:08:22,2017-06-05 11:08:22,,,,,,0=status=Errordetails=email to backup recipients could not be sent.
backup,3,Database Backup Executed,2017-06-05 11:09:13,2017-06-05 11:09:13,,,,,,0=status=Errordetails=email to backup recipients could not be sent.
backup,3,Database Backup Executed,2017-06-05 11:09:13,2017-06-05 11:09:13,,,,,,0=status=Errordetails=email to backup recipients could not be sent.
